date,district_id,district_name,commodity_name,state_name,avg_modal_price,avg_min_price,avg_max_price,calculationType,change
"2023-12-30",510,"Yavatmal","Cotton","Maharashtra",6800,6560,6887.5,"Daily","-15.00"
"2023-12-29",510,"Yavatmal","Cotton","Maharashtra",6815,6560,6910,"Daily","-135.00"
"2023-12-28",510,"Yavatmal","Cotton","Maharashtra",6950,6500,7020,"Daily","+50.00"
"2023-12-27",510,"Yavatmal","Cotton","Maharashtra",6900,6500,7020,"Daily","+10.00"
"2023-12-26",510,"Yavatmal","Cotton","Maharashtra",6890,6500,7010,"Daily","+140.00"
"2023-12-25",510,"Yavatmal","Cotton","Maharashtra",6750,6700,6800,"Daily","+50.00"
"2023-12-23",510,"Yavatmal","Cotton","Maharashtra",6700,6620,6800,"Daily","-300.00"
"2023-12-22",510,"Yavatmal","Cotton","Maharashtra",7000,6620,7028,"Daily","+290.00"
"2023-12-21",510,"Yavatmal","Cotton","Maharashtra",6710,6700,6750,"Daily","+10.00"
"2023-12-19",510,"Yavatmal","Cotton","Maharashtra",6700,6620,6800,"Daily","+50.00"
"2023-12-18",510,"Yavatmal","Cotton","Maharashtra",6650,6506.67,6740,"Daily","-12.50"
"2023-12-16",510,"Yavatmal","Cotton","Maharashtra",6662.5,6542.5,6765,"Daily","+27.50"
"2023-12-15",510,"Yavatmal","Cotton","Maharashtra",6635,6505,6746.25,"Daily","-115.00"
"2023-12-14",510,"Yavatmal","Cotton","Maharashtra",6750,6580,6843.75,"Daily","-125.00"
"2023-12-13",510,"Yavatmal","Cotton","Maharashtra",6875,6650,6980,"Daily","+250.00"
"2023-12-12",510,"Yavatmal","Cotton","Maharashtra",6625,6330,6780,"Daily","-135.67"
"2023-12-11",510,"Yavatmal","Cotton","Maharashtra",6760.67,6440,6963.33,"Daily","-156.00"
"2023-12-09",510,"Yavatmal","Cotton","Maharashtra",6916.67,6673.33,6996.67,"Daily","-0.00"
"2023-12-08",510,"Yavatmal","Cotton","Maharashtra",6916.67,6723.33,7023.33,"Daily","+323.34"
"2023-12-07",510,"Yavatmal","Cotton","Maharashtra",6593.33,6340,6828.33,"Daily","+24.66"
"2023-12-06",510,"Yavatmal","Cotton","Maharashtra",6568.67,6273.33,6926.67,"Daily","-306.33"
"2023-12-05",510,"Yavatmal","Cotton","Maharashtra",6875,6650,6920,"Daily","+50.00"
"2023-12-04",510,"Yavatmal","Cotton","Maharashtra",6825,6662.5,6930,"Daily","-46.00"
"2023-12-01",510,"Yavatmal","Cotton","Maharashtra",6871,6650,6912.5,"Daily","-68.00"
"2023-11-30",510,"Yavatmal","Cotton","Maharashtra",6939,6800,6987.5,"Daily","-11.00"
"2023-11-29",510,"Yavatmal","Cotton","Maharashtra",6950,6900,7030,"Daily","+16.67"
"2023-11-28",510,"Yavatmal","Cotton","Maharashtra",6933.33,6883.33,6970,"Daily","-45.17"
"2023-11-25",510,"Yavatmal","Cotton","Maharashtra",6978.5,6912.5,7025,"Daily","-41.50"
"2023-11-24",510,"Yavatmal","Cotton","Maharashtra",7020,6970,7063.2,"Daily","-13.75"
"2023-11-23",510,"Yavatmal","Cotton","Maharashtra",7033.75,6962.5,7120,"Daily","-73.75"
"2023-11-22",510,"Yavatmal","Cotton","Maharashtra",7107.5,7005,7180,"Daily","+388.33"
"2023-11-21",510,"Yavatmal","Cotton","Maharashtra",6719.17,6495,6791.67,"Daily","-322.83"
"2023-11-20",510,"Yavatmal","Cotton","Maharashtra",7042,6986.67,7108.33,"Daily","+67.00"
"2023-11-18",510,"Yavatmal","Cotton","Maharashtra",6975,6925,7025,"Daily","-99.67"
"2023-11-17",510,"Yavatmal","Cotton","Maharashtra",7074.67,7066.67,7085,"Daily","-136.33"
"2023-11-16",510,"Yavatmal","Cotton","Maharashtra",7211,7211,7211,"Daily","+211.00"
"2023-11-15",510,"Yavatmal","Cotton","Maharashtra",7000,6800,7200,"Daily","+100.00"
"2023-11-11",510,"Yavatmal","Cotton","Maharashtra",6900,6900,7101,"Daily","+464.50"
"2023-11-10",510,"Yavatmal","Cotton","Maharashtra",6435.5,6175.5,6935.5,"Daily","-472.83"
"2023-11-09",510,"Yavatmal","Cotton","Maharashtra",6908.33,6823.33,6976.67,"Daily","-12.67"
"2023-11-08",510,"Yavatmal","Cotton","Maharashtra",6921,6821,7021,"Daily","-7.67"
"2023-11-07",510,"Yavatmal","Cotton","Maharashtra",6928.67,6887,6970.33,"Daily","-26.83"
"2023-11-06",510,"Yavatmal","Cotton","Maharashtra",6955.5,6805.5,7105.5,"Daily","+2355.50"
"2023-11-04",510,"Yavatmal","Cotton","Maharashtra",4600,4400,4811,"Daily","-1530.00"
"2023-11-03",510,"Yavatmal","Cotton","Maharashtra",6130,6030,6230,"Daily","-870.00"
"2023-11-02",510,"Yavatmal","Cotton","Maharashtra",7000,6850,7150,"Daily","-0.00"
"2023-11-01",510,"Yavatmal","Cotton","Maharashtra",7000,6800,7200,"Daily","-50.00"
"2023-10-31",510,"Yavatmal","Cotton","Maharashtra",7050,7000,7100,"Daily","+2500.00"
"2023-10-30",510,"Yavatmal","Cotton","Maharashtra",4550,4400,4750,"Daily","-2370.00"
"2023-10-29",510,"Yavatmal","Cotton","Maharashtra",6920,6820,7020,"Daily","+109.50"
"2023-10-28",510,"Yavatmal","Cotton","Maharashtra",6810.5,6610.5,6960.5,"Daily","-64.50"
"2023-10-27",510,"Yavatmal","Cotton","Maharashtra",6875,6800,6950,"Daily","-46.00"
"2023-10-26",510,"Yavatmal","Cotton","Maharashtra",6921,6821,7021,"Daily","+171.00"
"2023-07-18",510,"Yavatmal","Cotton","Maharashtra",6750,6700,6800,"Daily","+50.00"
"2023-07-17",510,"Yavatmal","Cotton","Maharashtra",6700,6650,6800,"Daily","-25.00"
"2023-07-15",510,"Yavatmal","Cotton","Maharashtra",6725,6700,6800,"Daily","-62.50"
"2023-07-14",510,"Yavatmal","Cotton","Maharashtra",6787.5,6760,6950,"Daily","+12.50"
"2023-07-13",510,"Yavatmal","Cotton","Maharashtra",6775,6650,7000,"Daily","-25.00"
"2023-07-12",510,"Yavatmal","Cotton","Maharashtra",6800,6760,6950,"Daily","-50.00"
"2023-07-11",510,"Yavatmal","Cotton","Maharashtra",6850,6700,6975,"Daily","-27.50"
"2023-07-10",510,"Yavatmal","Cotton","Maharashtra",6877.5,6775,7000,"Daily","+127.50"
"2023-07-08",510,"Yavatmal","Cotton","Maharashtra",6750,6700,6800,"Daily","-105.00"
"2023-07-07",510,"Yavatmal","Cotton","Maharashtra",6855,6750,6997.5,"Daily","-45.00"
"2023-07-06",510,"Yavatmal","Cotton","Maharashtra",6900,6800,7135,"Daily","+50.00"
"2023-07-05",510,"Yavatmal","Cotton","Maharashtra",6850,6700,7100,"Daily","+50.00"
"2023-07-04",510,"Yavatmal","Cotton","Maharashtra",6800,6600,7000,"Daily","-0.00"
"2023-07-03",510,"Yavatmal","Cotton","Maharashtra",6800,6600,7000,"Daily","-200.00"
"2023-06-16",510,"Yavatmal","Cotton","Maharashtra",7000,6800,7065,"Daily","-50.00"
"2023-06-14",510,"Yavatmal","Cotton","Maharashtra",7050,6800,7180,"Daily","-0.00"
"2023-06-13",510,"Yavatmal","Cotton","Maharashtra",7050,6800,7150,"Daily","-0.00"
"2023-06-12",510,"Yavatmal","Cotton","Maharashtra",7050,6800,7125,"Daily","-50.00"
"2023-06-10",510,"Yavatmal","Cotton","Maharashtra",7100,6700,7190,"Daily","-100.00"
"2023-06-09",510,"Yavatmal","Cotton","Maharashtra",7200,6800,7260,"Daily","-50.00"
