,avg_modal_price,avg_min_price,avg_max_price,month,year,date,district_name,commodity_name,state_name
0,2673.0,2525.5,2716.0,3,2025,7,981,30501,30501
1,2572.5,2470.0,2710.5,3,2025,6,981,30501,30501
2,2634.0,2500.0,2740.0,3,2025,5,981,30501,30501
3,2486.5,2390.5,2628.75,3,2025,4,981,30501,30501
4,2725.0,2492.0,2778.0,3,2025,3,981,30501,30501
5,2756.5,2556.0,3025.5,2,2025,28,981,30501,30501
6,2850.33,2715.0,3012.33,2,2025,27,981,30501,30501
7,2791.0,2400.0,3151.0,2,2025,25,981,30501,30501
8,2940.0,2852.0,3115.0,2,2025,24,981,30501,30501
9,2887.5,2648.5,3108.5,2,2025,21,981,30501,30501
10,2699.0,2676.0,2851.0,2,2025,18,981,30501,30501
11,3200.0,2600.0,3334.0,2,2025,17,981,30501,30501
12,2812.0,2588.0,3012.5,2,2025,14,981,30501,30501
13,2776.0,2776.0,2776.0,2,2025,13,981,30501,30501
15,3075.5,2940.5,3215.5,2,2025,6,981,30501,30501
16,2851.0,2551.0,3300.0,2,2025,5,981,30501,30501
17,2550.0,2550.0,2611.0,2,2025,4,981,30501,30501
18,2925.0,2750.0,3200.0,2,2025,3,981,30501,30501
19,2900.0,2900.0,2900.0,1,2025,30,981,30501,30501
20,3037.5,2887.0,3275.5,1,2025,29,981,30501,30501
21,3100.0,2901.0,3210.0,1,2025,28,981,30501,30501
22,3194.0,3194.0,3299.0,1,2025,24,981,30501,30501
23,3008.33,2750.67,3294.33,1,2025,23,981,30501,30501
24,2800.0,2401.0,3200.0,1,2025,22,981,30501,30501
25,2900.0,2613.0,3150.0,1,2025,21,981,30501,30501
26,2875.0,2825.0,2920.5,1,2025,20,981,30501,30501
27,2951.0,2900.0,3151.0,1,2025,17,981,30501,30501
28,2983.0,2845.5,3218.5,1,2025,16,981,30501,30501
29,2825.0,2825.0,2825.0,1,2025,15,981,30501,30501
30,2950.0,2899.0,3151.0,1,2025,13,981,30501,30501
31,2975.0,2900.0,3050.0,1,2025,10,981,30501,30501
32,2976.0,2950.0,3074.5,1,2025,9,981,30501,30501
33,2887.5,2825.0,2965.0,1,2025,8,981,30501,30501
34,3098.5,3011.0,3186.0,1,2025,7,981,30501,30501
35,2850.0,2780.0,2950.0,1,2025,6,981,30501,30501
36,2470.0,2300.0,2700.0,1,2025,4,981,30501,30501
37,2873.33,2767.33,3017.0,1,2025,3,981,30501,30501
38,2600.0,2500.0,2691.0,1,2025,2,981,30501,30501
39,2947.0,2870.0,3001.0,1,2025,1,981,30501,30501
40,2900.0,2600.0,3000.0,12,2024,31,981,30501,30501
41,2800.0,2640.0,2985.0,12,2024,30,981,30501,30501
42,2812.5,2700.5,3000.0,12,2024,26,981,30501,30501
43,2850.0,2725.0,3000.0,12,2024,23,981,30501,30501
44,2874.5,2812.0,2949.5,12,2024,20,981,30501,30501
45,2725.0,2600.0,2850.0,12,2024,19,981,30501,30501
46,2700.0,2500.0,2900.0,12,2024,18,981,30501,30501
47,2925.0,2650.0,3300.0,12,2024,17,981,30501,30501
48,2710.5,2655.0,2905.5,12,2024,16,981,30501,30501
49,2775.0,2575.5,3150.0,12,2024,13,981,30501,30501
50,2875.0,2840.0,3125.0,12,2024,12,981,30501,30501
51,2857.5,2745.0,2985.0,12,2024,10,981,30501,30501
52,2650.0,2580.5,2888.0,12,2024,9,981,30501,30501
53,2862.5,2600.0,3005.5,12,2024,6,981,30501,30501
54,2400.0,2400.0,2400.0,12,2024,5,981,30501,30501
55,2740.0,2740.0,2925.5,12,2024,4,981,30501,30501
56,2775.0,2688.0,2850.5,12,2024,3,981,30501,30501
57,2600.0,2500.0,2726.67,12,2024,2,981,30501,30501
58,2800.0,2600.0,3000.0,11,2024,29,981,30501,30501
59,2800.0,2675.0,3049.5,11,2024,27,981,30501,30501
60,2883.0,2725.0,2971.0,11,2024,26,981,30501,30501
61,2926.0,2400.0,3141.0,11,2024,25,981,30501,30501
62,3025.0,2650.0,3215.0,11,2024,22,981,30501,30501
63,3062.5,2975.0,3150.0,11,2024,21,981,30501,30501
64,2655.0,2590.5,2800.5,11,2024,18,981,30501,30501
65,2650.0,2500.0,2800.0,11,2024,16,981,30501,30501
66,2500.0,2000.0,2681.0,11,2024,15,981,30501,30501
67,3077.0,3077.0,3077.0,11,2024,14,981,30501,30501
68,2875.0,2850.0,2900.0,11,2024,13,981,30501,30501
