date,district_id,district_name,commodity_name,state_name,avg_modal_price,avg_min_price,avg_max_price,calculationType,change
2025-03-07,497,Nandurbar,Wheat,Maharashtra,2673.0,2525.5,2716.0,Daily,100.5
2025-03-06,497,Nandurbar,Wheat,Maharashtra,2572.5,2470.0,2710.5,Daily,-61.5
2025-03-05,497,Nandurbar,Wheat,Maharashtra,2634.0,2500.0,2740.0,Daily,147.5
2025-03-04,497,Nandurbar,Wheat,Maharashtra,2486.5,2390.5,2628.75,Daily,-238.5
2025-03-03,497,Nandurbar,Wheat,Maharashtra,2725.0,2492.0,2778.0,Daily,-31.5
2025-02-28,497,Nandurbar,Wheat,Maharashtra,2756.5,2556.0,3025.5,Daily,-93.83
2025-02-27,497,Nandurbar,Wheat,Maharashtra,2850.33,2715.0,3012.33,Daily,59.33
2025-02-25,497,Nandurbar,Wheat,Maharashtra,2791.0,2400.0,3151.0,Daily,-149.0
2025-02-24,497,Nandurbar,Wheat,Maharashtra,2940.0,2852.0,3115.0,Daily,52.5
2025-02-21,497,Nandurbar,Wheat,Maharashtra,2887.5,2648.5,3108.5,Daily,188.5
2025-02-18,497,Nandurbar,Wheat,Maharashtra,2699.0,2676.0,2851.0,Daily,-501.0
2025-02-17,497,Nandurbar,Wheat,Maharashtra,3200.0,2600.0,3334.0,Daily,388.0
2025-02-14,497,Nandurbar,Wheat,Maharashtra,2812.0,2588.0,3012.5,Daily,36.0
2025-02-13,497,Nandurbar,Wheat,Maharashtra,2776.0,2776.0,2776.0,Daily,-675.0
2025-02-07,497,Nandurbar,Wheat,Maharashtra,3451.0,3451.0,3451.0,Daily,375.5
2025-02-06,497,Nandurbar,Wheat,Maharashtra,3075.5,2940.5,3215.5,Daily,224.5
2025-02-05,497,Nandurbar,Wheat,Maharashtra,2851.0,2551.0,3300.0,Daily,301.0
2025-02-04,497,Nandurbar,Wheat,Maharashtra,2550.0,2550.0,2611.0,Daily,-375.0
2025-02-03,497,Nandurbar,Wheat,Maharashtra,2925.0,2750.0,3200.0,Daily,25.0
